place_original,place_english
Iisaku khk.,
Irboska v.,
"Irboska v., Irboska k.",
"Irboska v., Miltsõ k.",
"Irboska v., Mõla (Малы) k.",
"Irboska v., Vana-Irboska k.",
"Irboska v., Vastsõ k.",
"Irboska v., Velje k.",
Jõhvi khk.,
"Kalda v., Kolpino (Колпино) k.",
"Kalda v., Medli (Медли) k.",
"Kalda v., Saare (Шартово) k.",
"Kalda v., Киршино (Kiršino) k.",
"Kasepää v., Kükita (Кюкита) k.",
"Kasepää v., Raja (Раюша) k.",
"Kasepää v., Tiheda (Тихотка) k.",
Kodavere khk.,
"Kohtla-Järve raj., Kuru (Куру) k.",
"Kohtla-Järve raj., Uusküla (Уускюла) k.",
"Kulje v., Zabolotje k.",
"Kulje v., Киршино (Kiršino) k.",
Mustvee,
Mustvee (Посад Черный) l.,
"Mäe v., Lüübnitsa (Любницы)",
"Peipsiäärne v., Nina (Нос) k.",
Petseri l.,
Petserimaa,
"Satserinna v., Satserinna k.",
"Satserinna v., Zahodõ k.",
"Skarjatina v., Skamja (Скамья) k.",
"Skarjatina v., Skarjatina (Скарятино) k.",
Tallinna linn,
Tartu linn,
Torma khk.,
Vaivara khk.,
"Vasknarva v., Djuk-Perevolok (Дюк Переволока) k.",
"Vasknarva v., Kuningaküla (Князь-село) k.",
"Vasknarva v., Suur Perevoloka (Большая Переволока) k.",
"Vasknarva v., Vasknarva (Васкнарва, Сыренец) k.",
"Venemaa, Oudova mk.",
"Venemaa, Pihkva obl., Irboska raj., Dubrovka (Дубровка) k.",
"Venemaa, Pihkva obl., Opotška (Опочецский) raj.",
"Venemaa, Pihkva obl., Petseri raj., Budoviži (Будовиж) k.",
"Venemaa, Pihkva obl., Petseri raj., Krjakovo (Кряково) k.",
"Venemaa, Pihkva obl., Petseri raj., Lisje (Лисье) k.",
"Venemaa, Pihkva obl., Petseri raj., Moložva (Моложва) k.",
"Venemaa, Pihkva obl., Petseri raj., Pankjavitsa (Паниковичи) k.",
"Venemaa, Pihkva obl., Petseri raj., Vasstsõ (Вастцы) k.",
"Venemaa, Pihkva obl., Petseri raj., д. Залесье",
"Venemaa, Pihkva obl., Petseri raj., пос. Лавры (Laura)",
"Venemaa, Pihkva obl., Pihkva raj., Belova nim. saar (остров им. Белова)",
"Venemaa, Pihkva obl., Pihkva raj., Zalita nim. saar (остров им. Залита)",
"Venemaa, Podoolia (Подольская) kub.",
"Venemaa, Псковский уезд, дер. Листовки",
Višnjakovo k.,
Voka mõis,
välismaa,
"Изборская волость (Irboska), Vana-Irboska",
"Изборская волость (Irboska), д. Мильцы",
"Изборская волость, д. Баршевицы",
"Изборская волость, д. Вастцы",
"Изборская волость, д. Залавья",
"Изборская волость, д. Зуево",
"Изборская волость, д. Конечки",
"Изборская волость, д. Петровка",
"Изборская волость, д. Старый Изборск",
"Печерский (Petseri) р-н., д. Городище",
"Печёрский уезд, д. Подграмье",
д. Старый Изборск,
