min_score,min_delta,n,coverage,precision
0.7,0.36,3,0.075,1.0
0.7,0.38,3,0.075,1.0
0.7,0.4,3,0.075,1.0
0.7,0.42,3,0.075,1.0
0.7,0.44,3,0.075,1.0
0.7,0.46,3,0.075,1.0
0.7,0.48,3,0.075,1.0
0.7,0.5,3,0.075,1.0
0.72,0.0,1,0.025,1.0
0.72,0.02,1,0.025,1.0
0.72,0.04,1,0.025,1.0
0.72,0.06,1,0.025,1.0
0.72,0.08,1,0.025,1.0
0.72,0.1,1,0.025,1.0
0.72,0.12,1,0.025,1.0
0.72,0.14,1,0.025,1.0
0.72,0.16,1,0.025,1.0
0.72,0.18,1,0.025,1.0
0.72,0.2,1,0.025,1.0
0.72,0.22,1,0.025,1.0
0.72,0.24,1,0.025,1.0
0.72,0.26,1,0.025,1.0
0.72,0.28,1,0.025,1.0
0.72,0.3,1,0.025,1.0
0.72,0.32,1,0.025,1.0
0.72,0.34,1,0.025,1.0
0.72,0.36,1,0.025,1.0
0.72,0.38,1,0.025,1.0
0.72,0.4,1,0.025,1.0
0.72,0.42,1,0.025,1.0
0.72,0.44,1,0.025,1.0
0.72,0.46,1,0.025,1.0
0.72,0.48,1,0.025,1.0
0.72,0.5,1,0.025,1.0
0.74,0.0,1,0.025,1.0
0.74,0.02,1,0.025,1.0
0.74,0.04,1,0.025,1.0
0.74,0.06,1,0.025,1.0
0.74,0.08,1,0.025,1.0
0.74,0.1,1,0.025,1.0
0.74,0.12,1,0.025,1.0
0.74,0.14,1,0.025,1.0
0.74,0.16,1,0.025,1.0
0.74,0.18,1,0.025,1.0
0.74,0.2,1,0.025,1.0
0.74,0.22,1,0.025,1.0
0.74,0.24,1,0.025,1.0
0.74,0.26,1,0.025,1.0
0.74,0.28,1,0.025,1.0
0.74,0.3,1,0.025,1.0
0.74,0.32,1,0.025,1.0
0.74,0.34,1,0.025,1.0
0.74,0.36,1,0.025,1.0
0.74,0.38,1,0.025,1.0
0.74,0.4,1,0.025,1.0
0.74,0.42,1,0.025,1.0
0.74,0.44,1,0.025,1.0
0.74,0.46,1,0.025,1.0
0.74,0.48,1,0.025,1.0
0.74,0.5,1,0.025,1.0
0.76,0.0,1,0.025,1.0
0.76,0.02,1,0.025,1.0
0.76,0.04,1,0.025,1.0
0.76,0.06,1,0.025,1.0
0.76,0.08,1,0.025,1.0
0.76,0.1,1,0.025,1.0
0.76,0.12,1,0.025,1.0
0.76,0.14,1,0.025,1.0
0.76,0.16,1,0.025,1.0
0.76,0.18,1,0.025,1.0
0.76,0.2,1,0.025,1.0
0.76,0.22,1,0.025,1.0
0.76,0.24,1,0.025,1.0
0.76,0.26,1,0.025,1.0
0.76,0.28,1,0.025,1.0
0.76,0.3,1,0.025,1.0
0.76,0.32,1,0.025,1.0
0.76,0.34,1,0.025,1.0
0.76,0.36,1,0.025,1.0
0.76,0.38,1,0.025,1.0
0.76,0.4,1,0.025,1.0
0.76,0.42,1,0.025,1.0
0.76,0.44,1,0.025,1.0
0.76,0.46,1,0.025,1.0
0.76,0.48,1,0.025,1.0
0.76,0.5,1,0.025,1.0
0.78,0.0,1,0.025,1.0
0.78,0.02,1,0.025,1.0
0.78,0.04,1,0.025,1.0
0.78,0.06,1,0.025,1.0
0.78,0.08,1,0.025,1.0
0.78,0.1,1,0.025,1.0
0.78,0.12,1,0.025,1.0
0.78,0.14,1,0.025,1.0
0.78,0.16,1,0.025,1.0
0.78,0.18,1,0.025,1.0
0.78,0.2,1,0.025,1.0
0.78,0.22,1,0.025,1.0
0.78,0.24,1,0.025,1.0
0.78,0.26,1,0.025,1.0
0.78,0.28,1,0.025,1.0
0.78,0.3,1,0.025,1.0
0.78,0.32,1,0.025,1.0
0.78,0.34,1,0.025,1.0
0.78,0.36,1,0.025,1.0
0.78,0.38,1,0.025,1.0
0.78,0.4,1,0.025,1.0
0.78,0.42,1,0.025,1.0
0.78,0.44,1,0.025,1.0
0.78,0.46,1,0.025,1.0
0.78,0.48,1,0.025,1.0
0.78,0.5,1,0.025,1.0
0.8,0.0,1,0.025,1.0
0.8,0.02,1,0.025,1.0
0.8,0.04,1,0.025,1.0
0.8,0.06,1,0.025,1.0
0.8,0.08,1,0.025,1.0
0.8,0.1,1,0.025,1.0
0.8,0.12,1,0.025,1.0
0.8,0.14,1,0.025,1.0
0.8,0.16,1,0.025,1.0
0.8,0.18,1,0.025,1.0
0.8,0.2,1,0.025,1.0
0.8,0.22,1,0.025,1.0
0.8,0.24,1,0.025,1.0
0.8,0.26,1,0.025,1.0
0.8,0.28,1,0.025,1.0
0.8,0.3,1,0.025,1.0
0.8,0.32,1,0.025,1.0
0.8,0.34,1,0.025,1.0
0.8,0.36,1,0.025,1.0
0.8,0.38,1,0.025,1.0
0.8,0.4,1,0.025,1.0
0.8,0.42,1,0.025,1.0
0.8,0.44,1,0.025,1.0
0.8,0.46,1,0.025,1.0
0.8,0.48,1,0.025,1.0
0.8,0.5,1,0.025,1.0
0.82,0.0,0,0.0,
0.84,0.0,0,0.0,
0.86,0.0,0,0.0,
0.88,0.0,0,0.0,
0.9,0.0,0,0.0,
