collection_id;label_et;see_also_urls
era_vene;Käsikirjaarhiiv : ERA. Eesti Rahvaluule Arhiivi kogu 1927–1944 : ERA, Vene.;https://kivike.kirmus.ee/index.php?selectId=7895&module=403&op=1
rkm_vene;Käsikirjaarhiiv : RKM. Riikliku Kirjandusmuuseumi kogu : RKM, Vene.;https://kivike.kirmus.ee/index.php?selectId=8002&module=403&op=1
tru_vkk;Käsikirjaarhiiv : TRÜ, VKK. Tartu Riikliku Ülikooli vene keele kateedri ja vene kirjanduse kateedri kogu;https://kivike.kirmus.ee/index.php?selectId=8035&module=403&op=1
